Season,Matchday,Date,Home_Team,Away_Team,Score,Attendance,Home_Goals,Away_Goals,Target,Home_Team_Points,Away_Team_Points,Home_Form_5,Away_Form_5,Home_Rank,Away_Rank
2010,1,2010-08-21,Hapoel Ashkelon,Hapoel Petah Tikva,3:1,1200,3.0,1.0,0,0,0,0,0,4,10
2010,1,2010-08-21,Hapoel Haifa,Hapoel Tel Aviv,1:0,6000,1.0,0.0,0,0,0,0,0,4,15
2010,1,2010-08-21,Bnei Yehuda Tel Aviv,Hapoel Ramat Gan,0:0,1500,0.0,0.0,1,0,0,0,0,16,14
2010,1,2010-08-21,Hapoel Acre,FC Ashdod,1:2,200,1.0,2.0,2,0,0,0,0,6,13
2010,1,2010-08-21,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,2:0,1500,2.0,0.0,0,0,0,0,0,6,10
2010,1,2010-08-21,Maccabi Netanya,Beitar Jerusalem,4:1,3000,4.0,1.0,0,0,0,0,0,9,15
2010,1,2010-08-22,Maccabi Tel Aviv,Maccabi Haifa,0:1,15000,0.0,1.0,2,0,0,0,0,14,11
2010,1,2010-08-23,Maccabi Petah Tikva,Hapoel Beer Sheva,0:1,1500,0.0,1.0,2,0,0,0,0,10,12
2010,2,2010-08-28,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,0:1,4000,0.0,1.0,2,3,1,3,1,6,9
2010,2,2010-08-28,Maccabi Haifa,Maccabi Petah Tikva,1:0,7000,1.0,0.0,0,3,0,3,0,6,11
2010,2,2010-08-28,Hapoel Ramat Gan,Hapoel Haifa,1:2,2000,1.0,2.0,2,1,3,1,3,9,4
2010,2,2010-08-28,Hapoel Tel Aviv,Hapoel Ashkelon,5:1,0,5.0,1.0,0,0,3,0,3,16,5
2010,2,2010-08-28,Hapoel Petah Tikva,Hapoel Acre,2:2,1500,2.0,2.0,1,0,0,0,0,14,11
2010,2,2010-08-28,FC Ashdod,Ironi Kiryat Shmona,2:2,2000,2.0,2.0,1,3,3,3,3,8,4
2010,2,2010-08-28,Ihud Bnei Sakhnin,Maccabi Netanya,1:1,750,1.0,1.0,1,0,3,0,3,14,7
2010,2,2010-08-29,Beitar Jerusalem,Maccabi Tel Aviv,0:1,9000,0.0,1.0,2,0,0,0,0,16,15
2010,3,2010-09-11,Hapoel Ashkelon,Hapoel Ramat Gan,1:1,800,1.0,1.0,1,3,1,3,1,7,14
2010,3,2010-09-11,Hapoel Acre,Hapoel Tel Aviv,2:2,2000,2.0,2.0,1,1,3,1,3,12,10
2010,3,2010-09-11,Ironi Kiryat Shmona,Hapoel Petah Tikva,3:1,1200,3.0,1.0,0,4,1,4,1,3,14
2010,3,2010-09-11,Maccabi Netanya,FC Ashdod,2:0,2000,2.0,0.0,0,4,4,4,4,5,6
2010,3,2010-09-11,Maccabi Petah Tikva,Beitar Jerusalem,2:1,2300,2.0,1.0,0,0,0,0,0,15,16
2010,3,2010-09-11,Maccabi Tel Aviv,Ihud Bnei Sakhnin,4:0,10000,4.0,0.0,0,3,1,3,1,11,14
2010,3,2010-09-12,Hapoel Haifa,Bnei Yehuda Tel Aviv,2:0,4000,2.0,0.0,0,6,4,6,4,3,9
2010,3,2010-09-13,Hapoel Beer Sheva,Maccabi Haifa,1:1,6000,1.0,1.0,1,3,6,3,6,11,4
2010,4,2010-09-25,Hapoel Tel Aviv,Ironi Kiryat Shmona,2:4,10000,2.0,4.0,2,4,7,4,7,9,2
2010,4,2010-09-25,Beitar Jerusalem,Hapoel Beer Sheva,5:1,5500,5.0,1.0,0,0,4,0,4,16,7
2010,4,2010-09-25,Hapoel Haifa,Hapoel Ashkelon,1:2,4000,1.0,2.0,2,9,4,9,4,2,6
2010,4,2010-09-25,Hapoel Petah Tikva,Maccabi Netanya,1:1,2000,1.0,1.0,1,1,7,1,7,16,4
2010,4,2010-09-25,Ihud Bnei Sakhnin,Maccabi Petah Tikva,2:3,1500,2.0,3.0,2,1,3,1,3,16,11
2010,4,2010-09-25,Bnei Yehuda Tel Aviv,Maccabi Haifa,2:3,4500,2.0,3.0,2,4,7,4,7,11,5
2010,4,2010-09-26,Hapoel Ramat Gan,Hapoel Acre,3:2,500,3.0,2.0,0,2,2,2,2,15,13
2010,4,2010-09-27,FC Ashdod,Maccabi Tel Aviv,1:2,6000,1.0,2.0,2,4,6,4,6,10,7
2010,5,2010-10-02,Hapoel Ashkelon,Bnei Yehuda Tel Aviv,0:0,0,0.0,0.0,1,7,4,7,4,6,12
