Season,Matchday,Date,Home_Team,Home_Rank,Away_Team,Away_Rank,Score,Attendance
2010,1,21/08/2010 ,Hapoel Ashkelon,14,Hapoel Petah Tikva,14,3:1,1200
2010,1,21/08/2010 ,Hapoel Haifa,7,Hapoel Tel Aviv,7,1:0,6000
2010,1,21/08/2010 ,Bnei Yehuda Tel Aviv,5,Hapoel Ramat Gan,5,0:0,1500
2010,1,21/08/2010 ,Hapoel Acre,9,FC Ashdod,9,1:2,200
2010,1,21/08/2010 ,Ironi Kiryat Shmona,4,Ihud Bnei Sakhnin,4,2:0,1500
2010,1,21/08/2010 ,Maccabi Netanya,6,Beitar Jerusalem,6,4:1,3000
2010,1,22/08/2010 ,Maccabi Tel Aviv,3,Maccabi Haifa,3,0:1,15000
2010,1,23/08/2010 ,Maccabi Petah Tikva,8,Hapoel Beer Sheva,8,0:1,1500
2010,2,28/08/2010 ,Hapoel Beer Sheva,6,Bnei Yehuda Tel Aviv,6,0:1,4000
2010,2,28/08/2010 ,Maccabi Haifa,5,Maccabi Petah Tikva,5,1:0,7000
2010,2,28/08/2010 ,Hapoel Ramat Gan,9,Hapoel Haifa,9,1:2,2000
2010,2,28/08/2010 ,Hapoel Tel Aviv,11,Hapoel Ashkelon,11,5:1,0
2010,2,28/08/2010 ,Hapoel Petah Tikva,14,Hapoel Acre,14,2:2,1500
2010,2,28/08/2010 ,FC Ashdod,4,Ironi Kiryat Shmona,4,2:2,2000
2010,2,28/08/2010 ,Ihud Bnei Sakhnin,15,Maccabi Netanya,15,1:1,750
2010,2,29/08/2010 ,Beitar Jerusalem,16,Maccabi Tel Aviv,16,0:1,9000
2010,3,11/09/2010 ,Hapoel Ashkelon,10,Hapoel Ramat Gan,10,1:1,800
2010,3,11/09/2010 ,Hapoel Acre,11,Hapoel Tel Aviv,11,2:2,2000
2010,3,11/09/2010 ,Ironi Kiryat Shmona,4,Hapoel Petah Tikva,4,3:1,1200
2010,3,11/09/2010 ,Maccabi Netanya,3,FC Ashdod,3,2:0,2000
2010,3,11/09/2010 ,Maccabi Petah Tikva,15,Beitar Jerusalem,15,2:1,2300
2010,3,11/09/2010 ,Maccabi Tel Aviv,8,Ihud Bnei Sakhnin,8,4:0,10000
2010,3,12/09/2010 ,Hapoel Haifa,1,Bnei Yehuda Tel Aviv,1,2:0,4000
2010,3,13/09/2010 ,Hapoel Beer Sheva,9,Maccabi Haifa,9,1:1,6000
2010,4,25/09/2010 ,Hapoel Tel Aviv,6,Ironi Kiryat Shmona,6,2:4,10000
2010,4,25/09/2010 ,Beitar Jerusalem,16,Hapoel Beer Sheva,16,5:1,5500
2010,4,25/09/2010 ,Hapoel Haifa,1,Hapoel Ashkelon,1,1:2,4000
2010,4,25/09/2010 ,Hapoel Petah Tikva,14,Maccabi Netanya,14,1:1,2000
2010,4,25/09/2010 ,Ihud Bnei Sakhnin,15,Maccabi Petah Tikva,15,2:3,1500
2010,4,25/09/2010 ,Bnei Yehuda Tel Aviv,9,Maccabi Haifa,9,2:3,4500
2010,4,26/09/2010 ,Hapoel Ramat Gan,13,Hapoel Acre,13,3:2,500
2010,4,27/09/2010 ,FC Ashdod,8,Maccabi Tel Aviv,8,1:2,6000
2010,5,02/10/2010 ,Hapoel Ashkelon,6,Bnei Yehuda Tel Aviv,6,0:0,0
2010,5,02/10/2010 ,Maccabi Tel Aviv,3,Hapoel Petah Tikva,3,2:1,0
2010,5,02/10/2010 ,Hapoel Acre,14,Hapoel Haifa,14,2:1,0
2010,5,02/10/2010 ,Maccabi Petah Tikva,7,FC Ashdod,7,2:2,0
2010,5,02/10/2010 ,Hapoel Beer Sheva,12,Ihud Bnei Sakhnin,12,1:0,0
2010,5,02/10/2010 ,Maccabi Netanya,5,Hapoel Tel Aviv,5,1:3,0
2010,5,03/10/2010 ,Maccabi Haifa,2,Beitar Jerusalem,2,3:3,13000
2010,5,04/10/2010 ,Ironi Kiryat Shmona,1,Hapoel Ramat Gan,1,1:0,0
2010,6,16/10/2010 ,Hapoel Ashkelon,6,Hapoel Acre,6,0:0,0
2010,6,16/10/2010 ,Hapoel Haifa,4,Ironi Kiryat Shmona,4,1:4,0
2010,6,16/10/2010 ,Hapoel Ramat Gan,11,Maccabi Netanya,11,0:1,0
2010,6,16/10/2010 ,Hapoel Petah Tikva,15,Maccabi Petah Tikva,15,1:4,0
2010,6,16/10/2010 ,Ihud Bnei Sakhnin,16,Maccabi Haifa,16,1:2,2500
2010,6,16/10/2010 ,Hapoel Tel Aviv,7,Maccabi Tel Aviv,7,1:0,0
2010,6,17/10/2010 ,FC Ashdod,12,Hapoel Beer Sheva,12,3:3,0
2010,6,18/10/2010 ,Bnei Yehuda Tel Aviv,13,Beitar Jerusalem,13,2:1,0
2010,7,23/10/2010 ,Maccabi Tel Aviv,3,Hapoel Ramat Gan,3,2:0,0
2010,7,23/10/2010 ,Hapoel Acre,11,Bnei Yehuda Tel Aviv,11,3:1,0
2010,7,23/10/2010 ,Ironi Kiryat Shmona,1,Hapoel Ashkelon,1,2:2,0
2010,7,23/10/2010 ,Maccabi Netanya,4,Hapoel Haifa,4,1:1,0
2010,7,23/10/2010 ,Hapoel Beer Sheva,10,Hapoel Petah Tikva,10,0:0,0
2010,7,23/10/2010 ,Maccabi Haifa,2,FC Ashdod,2,1:1,8000
2010,7,24/10/2010 ,Maccabi Petah Tikva,6,Hapoel Tel Aviv,6,1:2,0
2010,7,25/10/2010 ,Beitar Jerusalem,14,Ihud Bnei Sakhnin,14,0:0,0
2010,8,30/10/2010 ,FC Ashdod,12,Beitar Jerusalem,12,3:0,0
2010,8,30/10/2010 ,Hapoel Acre,9,Ironi Kiryat Shmona,9,3:0,0
2010,8,30/10/2010 ,Hapoel Ashkelon,8,Maccabi Netanya,8,0:4,0
2010,8,30/10/2010 ,Hapoel Ramat Gan,14,Maccabi Petah Tikva,14,0:2,0
2010,8,30/10/2010 ,Bnei Yehuda Tel Aviv,11,Ihud Bnei Sakhnin,11,2:0,0
2010,8,30/10/2010 ,Hapoel Tel Aviv,4,Hapoel Beer Sheva,4,3:2,0
2010,8,31/10/2010 ,Hapoel Petah Tikva,15,Maccabi Haifa,15,0:1,5000
2010,8,01/11/2010 ,Hapoel Haifa,7,Maccabi Tel Aviv,7,0:0,0
2010,9,06/11/2010 ,Beitar Jerusalem,13,Hapoel Petah Tikva,13,0:2,0
2010,9,06/11/2010 ,Ironi Kiryat Shmona,2,Bnei Yehuda Tel Aviv,2,2:2,0
2010,9,06/11/2010 ,Maccabi Petah Tikva,6,Hapoel Haifa,6,2:3,0
2010,9,06/11/2010 ,Hapoel Beer Sheva,12,Hapoel Ramat Gan,12,2:0,0
