Season,Matchday,Date,Home_Team,Home_Rank,Away_Team,Away_Rank,Score,Attendance
2024,27,15/03/2025 ,Hapoel Beer Sheva,2,Maccabi Netanya,2,2:0,13246
2024,27,15/03/2025 ,Maccabi Tel Aviv,1,Hapoel Haifa,1,3:0,20230
2024,27,16/03/2025 ,Maccabi Haifa,3,Beitar Jerusalem,3,3:3,28150
2024,28,29/03/2025 ,Hapoel Haifa,5,Maccabi Haifa,5,0:2,13100
2024,28,30/03/2025 ,Maccabi Netanya,6,Beitar Jerusalem,6,0:1,11131
2024,28,31/03/2025 ,Hapoel Beer Sheva,1,Maccabi Tel Aviv,1,1:3,15784
2024,29,05/04/2025 ,Maccabi Tel Aviv,1,Maccabi Netanya,1,4:1,23415
2024,29,06/04/2025 ,Beitar Jerusalem,4,Hapoel Haifa,4,0:1,15231
2024,29,07/04/2025 ,Maccabi Haifa,3,Hapoel Beer Sheva,3,0:3,28130
2024,30,14/04/2025 ,Maccabi Netanya,6,Hapoel Haifa,6,2:2,4971
2024,30,14/04/2025 ,Hapoel Beer Sheva,2,Beitar Jerusalem,2,3:1,15164
2024,30,14/04/2025 ,Maccabi Tel Aviv,1,Maccabi Haifa,1,1:1,28429
2024,31,19/04/2025 ,Hapoel Haifa,5,Hapoel Beer Sheva,5,1:2,3040
2024,31,20/04/2025 ,Maccabi Haifa,3,Maccabi Netanya,3,1:0,17120
2024,31,21/04/2025 ,Beitar Jerusalem,4,Maccabi Tel Aviv,4,3:1,25576
2024,32,26/04/2025 ,Hapoel Haifa,5,Maccabi Tel Aviv,5,1:3,7490
2024,32,27/04/2025 ,Maccabi Netanya,6,Hapoel Beer Sheva,6,2:1,7120
2024,32,28/04/2025 ,Beitar Jerusalem,4,Maccabi Haifa,4,1:2,26237
2024,33,03/05/2025 ,Maccabi Haifa,3,Hapoel Haifa,3,1:5,24130
2024,33,04/05/2025 ,Beitar Jerusalem,4,Maccabi Netanya,4,0:3,13500
2024,33,05/05/2025 ,Maccabi Tel Aviv,2,Hapoel Beer Sheva,2,1:1,27063
2024,34,11/05/2025 ,Hapoel Haifa,5,Beitar Jerusalem,5,1:0,7973
2024,34,12/05/2025 ,Maccabi Netanya,6,Maccabi Tel Aviv,6,1:6,11733
2024,34,12/05/2025 ,Hapoel Beer Sheva,1,Maccabi Haifa,1,4:1,14853
2024,35,17/05/2025 ,Hapoel Haifa,5,Maccabi Netanya,5,1:1,4079
2024,35,19/05/2025 ,Beitar Jerusalem,4,Hapoel Beer Sheva,4,1:1,25370
2024,35,19/05/2025 ,Maccabi Haifa,3,Maccabi Tel Aviv,3,0:3,27843
